Index,Start,End,Duration,Epochs,Loss,Accuracy,Val_Loss,Val_Accuracy,Activation,Batch_Size,Dropout,First_Neuron,Hidden_Layers,Last_Activation,Losses,lr,Optimizer,shapes
674,05/29/21-071241,05/29/21-071308,26.31587029,150,0.158910453,0.933819711,0.517114103,0.848437488,relu,16,0,8,2,sigmoid,binary_crossentropy,0.95,Nadam,funnel
675,05/29/21-071308,05/29/21-071331,23.28611159,150,0.01285369,0.968733728,0.059522502,0.84765625,elu,21,0.1,64,2,sigmoid,logcosh,2.3,Adam,brick
676,05/29/21-071331,05/29/21-071351,19.71586728,150,0.176617295,0.924960911,0.459544718,0.850781262,relu,21,0.3,32,0,sigmoid,binary_crossentropy,4.1,RMSprop,brick
677,05/29/21-071351,05/29/21-071410,18.93650436,150,0.071361959,0.744658649,0.054655872,0.8515625,elu,21,0.3,4,1,sigmoid,logcosh,4.1,Adam,funnel
678,05/29/21-071410,05/29/21-071443,32.55467582,150,0.009066164,0.977071405,0.062301122,0.837499976,relu,13,0,64,2,sigmoid,logcosh,4.1,Adam,funnel
679,05/29/21-071443,05/29/21-071502,19.14697838,150,0.511250734,0.742574275,0.429913431,0.852343738,relu,24,0.4,32,1,sigmoid,binary_crossentropy,1.4,Adam,funnel
680,05/29/21-071503,05/29/21-071521,18.38958645,150,0.151050836,0.943199575,0.587557554,0.831250012,relu,24,0,8,2,sigmoid,binary_crossentropy,1.85,Adam,brick
681,05/29/21-071521,05/29/21-071540,19.16649961,150,0.111969322,0.95726943,0.467295349,0.857031226,relu,27,0.3,64,1,sigmoid,binary_crossentropy,0.5,Nadam,brick
682,05/29/21-071541,05/29/21-071700,78.9711709,150,0.041878857,0.871287108,0.051229931,0.854687512,elu,4,0.4,8,0,sigmoid,logcosh,4.55,Adam,funnel
683,05/29/21-071700,05/29/21-071826,86.46674991,150,0.523735225,0.735799909,0.464576423,0.837499976,relu,4,0.4,32,1,sigmoid,binary_crossentropy,3.65,RMSprop,funnel
684,05/29/21-071827,05/29/21-071915,48.35690188,150,0.058023792,0.799895763,0.050526083,0.85546875,elu,7,0.2,4,1,sigmoid,logcosh,4.55,RMSprop,funnel
685,05/29/21-071915,05/29/21-071946,30.47849941,150,0.076978482,0.773319423,0.07545504,0.815625012,relu,13,0.3,64,1,sigmoid,logcosh,4.55,Nadam,funnel
686,05/29/21-071946,05/29/21-072010,23.85254097,150,0.392697871,0.851485133,0.345032662,0.857812524,relu,18,0.4,8,2,sigmoid,binary_crossentropy,2.75,RMSprop,brick
687,05/29/21-072010,05/29/21-072049,38.91696239,150,0.167440817,0.951016128,0.556677997,0.846875012,relu,10,0.1,64,2,sigmoid,binary_crossentropy,3.65,RMSprop,funnel
688,05/29/21-072049,05/29/21-072121,31.76850629,150,0.220796436,0.91141218,0.432428747,0.852343738,relu,13,0.1,16,2,sigmoid,binary_crossentropy,3.2,Adam,funnel
689,05/29/21-072121,05/29/21-072143,22.03368735,150,0.03093943,0.913496614,0.054615758,0.849218726,elu,21,0.2,32,2,sigmoid,logcosh,1.85,RMSprop,brick
690,05/29/21-072143,05/29/21-072317,93.35300708,150,0.181689426,0.922876477,0.486287117,0.850781262,relu,4,0.2,32,1,sigmoid,binary_crossentropy,2.75,Nadam,brick
691,05/29/21-072317,05/29/21-072336,19.64403248,150,0.308429003,0.863470554,0.341917574,0.845312476,relu,21,0.4,8,0,sigmoid,binary_crossentropy,0.5,Nadam,funnel
692,05/29/21-072337,05/29/21-072401,24.16552544,150,0.229804605,0.904637814,0.347655475,0.861718774,elu,16,0.3,16,0,sigmoid,binary_crossentropy,4.1,Nadam,brick
693,05/29/21-072401,05/29/21-072420,19.14940429,150,0.007154936,0.983324647,0.06079964,0.833593726,relu,21,0,64,0,sigmoid,logcosh,1.85,RMSprop,brick
694,05/29/21-072420,05/29/21-072512,51.48876929,150,0.148372442,0.947368443,0.743927419,0.84765625,relu,7,0.2,64,0,sigmoid,binary_crossentropy,2.75,RMSprop,funnel
695,05/29/21-072512,05/29/21-072638,85.7148068,150,0.499975354,0.752475262,0.406014055,0.853906274,relu,4,0.3,8,1,sigmoid,binary_crossentropy,2.3,Adam,funnel
696,05/29/21-072638,05/29/21-072730,51.43551397,150,0.086160563,0.73006773,0.063833393,0.84765625,relu,7,0.4,8,1,sigmoid,logcosh,2.3,Nadam,funnel
697,05/29/21-072730,05/29/21-072852,82.42083549,150,0.232804939,0.896821261,0.397484183,0.8515625,elu,4,0,4,0,sigmoid,binary_crossentropy,3.2,Adam,funnel
698,05/29/21-072852,05/29/21-072911,18.50294399,150,0.306330741,0.866076052,0.347228706,0.853124976,elu,21,0.2,4,0,sigmoid,binary_crossentropy,1.85,Adam,brick
699,05/29/21-072911,05/29/21-073149,158.1619968,150,0.041369863,0.882230341,0.051373828,0.857812524,elu,2,0.2,8,1,sigmoid,logcosh,1.4,RMSprop,brick
700,05/29/21-073150,05/29/21-073212,22.60395503,150,0.042693023,0.865033865,0.051516555,0.850000024,elu,16,0.2,4,0,sigmoid,logcosh,4.1,Nadam,brick
701,05/29/21-073212,05/29/21-073230,17.46664619,150,0.01076551,0.97498697,0.06118089,0.839062512,relu,24,0,32,1,sigmoid,logcosh,1.85,RMSprop,funnel
702,05/29/21-073230,05/29/21-073404,93.68897343,150,0.412397265,0.822824359,0.435914278,0.828125,relu,4,0.3,8,2,sigmoid,binary_crossentropy,0.5,Nadam,funnel
703,05/29/21-073404,05/29/21-073432,27.66650844,150,0.322048813,0.853569567,0.349554747,0.853124976,relu,13,0.2,4,0,sigmoid,binary_crossentropy,4.1,Adam,funnel
704,05/29/21-073432,05/29/21-073456,24.04164672,150,0.050864667,0.849921823,0.051223803,0.8515625,elu,16,0.2,4,2,sigmoid,logcosh,3.2,RMSprop,funnel
705,05/29/21-073456,05/29/21-073520,23.49947476,150,0.034462687,0.90411675,0.049774129,0.854687512,elu,18,0.4,32,1,sigmoid,logcosh,0.95,Nadam,brick
706,05/29/21-073520,05/29/21-073538,17.9068172,150,0.055618882,0.835852027,0.053532146,0.8515625,elu,24,0.4,4,1,sigmoid,logcosh,3.65,Nadam,brick
707,05/29/21-073538,05/29/21-073636,58.44187808,150,0.029710567,0.929129779,0.063641712,0.841406226,relu,7,0.3,64,2,sigmoid,logcosh,3.2,RMSprop,brick
708,05/29/21-073637,05/29/21-073807,90.58783579,150,0.47952807,0.779572666,0.417489469,0.846093774,relu,4,0.3,32,1,sigmoid,binary_crossentropy,1.4,RMSprop,funnel
709,05/29/21-073808,05/29/21-073826,18.83492565,150,0.033618242,0.903595626,0.047076724,0.864062488,elu,21,0.1,16,0,sigmoid,logcosh,1.4,RMSprop,brick
710,05/29/21-073827,05/29/21-074115,168.720655,150,0.015543683,0.961438239,0.066272393,0.842968762,elu,2,0,32,1,sigmoid,logcosh,2.75,RMSprop,brick
711,05/29/21-074116,05/29/21-074140,24.91307473,150,0.218587205,0.902032316,0.634178281,0.835156262,elu,21,0.2,64,2,sigmoid,binary_crossentropy,4.1,Nadam,brick
712,05/29/21-074141,05/29/21-074212,31.16553211,150,0.01932429,0.949973941,0.053870071,0.857031226,relu,13,0.2,64,0,sigmoid,logcosh,3.65,Adam,funnel
713,05/29/21-074212,05/29/21-074342,89.944278,150,0.029072834,0.925482035,0.062636279,0.840624988,relu,4,0.1,16,2,sigmoid,logcosh,2.3,RMSprop,brick
714,05/29/21-074342,05/29/21-074400,17.75537372,150,0.075125642,0.975508094,0.528583527,0.854687512,elu,27,0,64,0,sigmoid,binary_crossentropy,1.4,Nadam,brick
715,05/29/21-074400,05/29/21-074437,36.87984061,150,0.037631925,0.896821261,0.05132658,0.850000024,relu,10,0.4,16,0,sigmoid,logcosh,2.75,Nadam,brick
716,05/29/21-074437,05/29/21-074454,16.67529106,150,0.184363917,0.924439788,0.412801415,0.856249988,relu,27,0.3,32,0,sigmoid,binary_crossentropy,2.75,RMSprop,funnel
717,05/29/21-074454,05/29/21-074523,28.25774789,150,0.045559242,0.875455976,0.053784274,0.848437488,relu,13,0.2,4,1,sigmoid,logcosh,0.95,Adam,brick
